Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
1000MERCIS,FR0010285965,ALMIL,Euronext Growth Paris,EUR,30.00,30.00,30.00,30.00,20/05/2022 12:58,CET,6,180.00
2020 BULKERS,BMG9156K1018,2020,Oslo Børs,NOK,134.60,139.80,134.20,135.40,20/05/2022 16:25,CET,222401,30495141.60
2CRSI,FR0013341781,2CRSI,Euronext Paris,EUR,4.61,4.79,4.60,4.65,20/05/2022 17:28,CET,9596,45121.37
2MX ORGANIC,FR0014000T90,2MX,Euronext Paris,EUR,9.90,9.90,9.82,9.90,20/05/2022 17:35,CET,7031,69599.06
2MX ORGANIC BS,FR0014000TB2,2MXBS,Euronext Paris,EUR,0.23,0.23,0.23,0.23,08/04/2022 14:47,CET,5000,1150.00
5TH PLANET GAMES,DK0060945467,5PG,Euronext Expand Oslo,NOK,2.04,2.32,1.904,2.20,20/05/2022 16:29,CET,13220213,27627419.16
A TOUTE VITESSE,FR0010050773,MLATV,Euronext Access Paris,EUR,1.48,1.48,1.35,1.35,13/11/2019 16:53,CET,378,521.87
A.S.T. GROUPE,FR0000076887,ALAST,Euronext Growth Paris,EUR,3.80,3.80,3.78,3.80,20/05/2022 17:28,CET,1364,5159.12
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR,45.67,45.99,44.40,44.65,20/05/2022 17:35,CET,374299,16138258.69
AASEN SPAREBANK,NO0010672181,AASB,Euronext Growth Oslo,NOK,136.00,136.00,136.00,136.00,20/05/2022 14:29,CET,121,16456.00
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR,51.64,52.00,51.00,51.21,20/05/2022 17:36,CET,2035721,105440211.10
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,9.415,9.45,9.10,9.36,20/05/2022 17:35,CET,34009,316429.94
ABATTOIR,BE0946377455,-,Euronext Expert Market,EUR,47.70,47.70,47.70,47.70,24/01/2017 11:30,CET,500,23850.00
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,7.16,7.16,7.12,7.12,20/05/2022 17:35,CET,9929,70813.97
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,16.80,16.85,16.80,16.85,20/05/2022 17:35,CET,601,10121.80
ABG SUNDAL COLLIER,NO0003021909,ABG,Oslo Børs,NOK,6.80,6.90,6.65,6.70,20/05/2022 16:25,CET,624844,4227753.85
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,1.946,1.958,1.856,1.87,20/05/2022 17:29,CET,65009,124010.35
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,17.26,17.84,16.92,17.80,20/05/2022 17:35,CET,31170,542417.34
ABL Diagnostics,FR001400AHX6,ABLD,Euronext Paris,EUR,3.25,3.25,3.25,3.25,16/05/2022 11:30,CET,24,78.00
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam,EUR,10.515,10.57,10.295,10.295,20/05/2022 17:35,CET,4749407,50576039.63
ABO GROUP,BE0974278104,ABO,Euronext Brussels, Paris,EUR,5.10,5.10,5.10,5.10,20/05/2022 13:31,CET,6,30.60
ACACIA PHARMA,GB00BYWF9Y76,ACPH,Euronext Brussels,EUR,0.806,0.83,0.806,0.83,20/05/2022 17:35,CET,535989,439402.86
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.467,0.482,0.467,0.482,20/05/2022 15:07,CET,281,135.43
ACCELL GROUP,NL0009767532,ACCEL,Euronext Amsterdam,EUR,54.00,54.55,53.40,54.00,20/05/2022 17:35,CET,139926,7561963.15
ACCENTIS,BE0003696102,ACCB,Euronext Brussels,EUR,0.068,0.068,0.065,0.066,20/05/2022 16:13,CET,52450,3412.50
ACCOR,FR0000120404,AC,Euronext Paris,EUR,30.13,30.93,29.94,30.54,20/05/2022 17:35,CET,638970,19553213.29
ACCOR AC SHARES,FR0014003PZ3,AAC,Euronext Paris,EUR,9.55,9.85,9.55,9.85,19/05/2022 10:37,CET,1000,9700.00
ACCOR AC WARRANTS,FR0014003QK3,AACW,Euronext Paris,EUR,0.14,0.14,0.14,0.14,01/04/2022 16:16,CET,1200,168.00
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam,EUR,1.60,1.624,1.58,1.58,20/05/2022 17:35,CET,104247,166846.11
ACHETER-LOUER.FR,FR00140072P8,ALALO,Euronext Growth Paris,EUR,0.001,0.001,0.0009,0.0009,20/05/2022 16:42,CET,4087010,3990.93
ACKERMANS V.HAAREN,BE0003764785,ACKB,Euronext Brussels,EUR,158.70,162.10,158.30,159.10,20/05/2022 17:35,CET,45389,7255946.60
ACTEOS,FR0000076861,EOS,Euronext Paris,EUR,2.05,2.05,2.03,2.03,20/05/2022 13:40,CET,6125,12477.27
